Component,cost,quantity,link
raspberry pi 4,$40.34,1,https://vilros.com/products/raspberry-pi-4-model-b-1?variant=40809478684766
7 inch LCD TFT Display,$25.39,1,https://www.aliexpress.us/item/3256802356238567.html?spm=a2g0o.cart.0.0.605338datUS5Ad&mp=1&pdp_npi=6%40dis%21USD%21USD+50.69%21USD+20.93%21%21USD+20.93%21%21%21%402101e2b617773498621795705ec2da%2112000029371548418%21ct%21US%21-1%21%211%210%21&_gl=1*a2bk0h*_gcl_aw*R0NMLjE3NzczNDczNzcuQ2owS0NRandrcnpQQmhDcUFSSXNBSk40NjBuVW5FcHhHX2lIbFMwTTcyQzdJd0dmeDdmMTltbXBiQjRYN2lCWWxWMmNzYmI1c2xoaWRlUWFBdFcxRUFMd193Y0I.*_gcl_dc*R0NMLjE3NzczNDczNzcuQ2owS0NRandrcnpQQmhDcUFSSXNBSk40NjBuVW5FcHhHX2lIbFMwTTcyQzdJd0dmeDdmMTltbXBiQjRYN2lCWWxWMmNzYmI1c2xoaWRlUWFBdFcxRUFMd193Y0I.*_gcl_au*ODU0ODA2MzU5LjE3NzczNDY5NTY.*_ga*MzI3NDUxMjU3LjE3NzczNDY5ODc.*_ga_VED1YSGNC7*czE3NzczNDY5ODckbzEkZzEkdDE3NzczNTAwNjYkajYwJGwwJGgw&gatewayAdapt=glo2usa
r503 finger print sensor ,$17.35,1,https://www.aliexpress.us/item/2251832867340660.html?spm=a2g0o.cart.0.0.605338datUS5Ad&mp=1&pdp_npi=6%40dis%21USD%21USD+18.79%21USD+17.85%21%21USD+17.85%21%21%21%402101e2b617773498621795705ec2da%2112000050580781095%21ct%21US%21-1%21%211%210%21&_gl=1*ztc5rx*_gcl_aw*R0NMLjE3NzczNDczNzcuQ2owS0NRandrcnpQQmhDcUFSSXNBSk40NjBuVW5FcHhHX2lIbFMwTTcyQzdJd0dmeDdmMTltbXBiQjRYN2lCWWxWMmNzYmI1c2xoaWRlUWFBdFcxRUFMd193Y0I.*_gcl_dc*R0NMLjE3NzczNDczNzcuQ2owS0NRandrcnpQQmhDcUFSSXNBSk40NjBuVW5FcHhHX2lIbFMwTTcyQzdJd0dmeDdmMTltbXBiQjRYN2lCWWxWMmNzYmI1c2xoaWRlUWFBdFcxRUFMd193Y0I.*_gcl_au*ODU0ODA2MzU5LjE3NzczNDY5NTY.*_ga*MzI3NDUxMjU3LjE3NzczNDY5ODc.*_ga_VED1YSGNC7*czE3NzczNDY5ODckbzEkZzEkdDE3NzczNDk4OTEkajYwJGwwJGgw&gatewayAdapt=glo2usa
7 inch USB keyboard ,$13.29,1,https://www.temu.com/goods.html?_bg_fs=1&goods_id=601099588327454&sku_id=17592491801873&_oak_page_source=501&_x_sessn_id=ugel5wb9kk&refer_page_name=shopping_cart&refer_page_id=10037_1777348933480_rlwbvf7dsj&refer_page_sn=10037&is_back=1&no_cache_id=hl0xs
Enclosure ,NA,1,
pi sugar S plus ,$34.95,1,https://www.pisugar.com/products/pisugar-3-plus-raspberry-pi-ups?variant=46670160134367&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOooPwBuU6GV9qN1dhL0TTVK-DuMI2_23nPXO8cPZDbR_cCuhzab9BxY
epoxy glue ,$6.98,1,https://www.walmart.com/ip/J-B-WELD-SYRINGE-25ML/49019703?wl13=2812&wmlspartner=wlpa&selectedSellerId=0
M2.5 screws,$6.98,4,https://www.amazon.com/TOOINKCV-Washers-Stainless-Assortment-Threaded/dp/B0DCKG5BLG/ref=sr_1_4?dib=eyJ2IjoiMSJ9.zKlm05p8qau3MhnaXz-5wSgIoBn7s03YS52e5gtsNdLMdixgiNs2kCLlnAKO5GU85bRwfOlhxDq1c8XsrYNUs2NtebiNtspJzSYgcfxwJYlwlQpzKgPOnyCeP40DCkvbgFVmCVgk1ekzuCmHwnbgpc6N1HNBGHa0FhhkAfxjfqB_rntuubcvnxesUfzyHrRXjwQK5QBaRnf-CqiTE23hwTMxFY3lPFSw0Kqi0gUG5JY.QOYF3qXSnJ6TmVxoZEwOhkxRiNmJlZZ-5M25C2eGnyo&dib_tag=se&keywords=m2.5%2Bscrews&qid=1778456646&sr=8-4&th=1
Micro SD card 64GB,$24.00,1,https://www.amazon.com/SANDISK-Ultra-microSD-UHS-I-SDSQUJQ-064G-GZ6MA/dp/B0G8KLQ64L/ref=sr_1_5?crid=17K1CIH28G1DT&dib=eyJ2IjoiMSJ9.xD-LRhQtzaRApDQ33vFG2YNpsFq5Ekr7BgVG_dQRy4ttQomb2PKkAQXeZx4o72coBFyM6SWJFpHkVQAEZpfs9dUQ_5LeXKrKi0_HUsQXgLZG0QWY-hYBQGy4FQJeBiHhsn7HNAbshYWSTHI2k4V8QVJ3G-x-KN45a9PsBFWq5hqgqnNxW56jgVGD6vdE8xN077oLIr3-qqO1X2S-7iEpXDNlutdnfNaWxZZgzdwvGWc.hKmG0Ha2V9XLtHCYBRVUiz7xSX7bxR2jYVX0750nFFs&dib_tag=se&keywords=sandisk%2B64gb&qid=1778456765&sprefix=sandisk%2B64g%2Caps%2C145&sr=8-5&th=1
Roll of Cable Tape ,$0.97,1,https://www.walmart.com/ip/Hyper-Tough-Electrical-Tape/13709008395?wl13=2812&wmlspartner=wlpa&selectedSellerId=0
TOTAL: ,$170.25,,
